timestamp,energy_net,energy_total,electricity_net,electricity_total,fuelOil_total,naturalGas_total,propane_total
"(2, 5)",317391.2114116071,45703444.43330357,35068.026981160714,6129555.353642858,5075007.926116072,31637324.374017857,2861541.4044732144
"(2, 6)",336229.65974375,48213725.92794643,40746.652118125,6832253.680089286,5284504.2606875,33091971.869196426,3004968.880794643
"(2, 7)",338501.3963651786,50065430.24892857,37958.13950086339,7567748.1139464285,5342145.146598214,34064173.25330357,3091340.318928572
"(2, 8)",310301.51955535717,50181780.406517856,20285.66706613839,7994515.282946429,5144334.530491071,33966589.05776785,3076338.1108482145
"(2, 9)",272535.8366380357,48771477.650625,-2977.6320717705357,8123747.52675,4811099.935357143,32874156.17357143,2962469.618517857
"(2, 10)",241401.04274892856,46722238.89633929,-22077.96405909018,8020176.4552946435,4477093.337625,31408948.838214286,2816011.5721339285
"(2, 11)",210413.44855673215,44297319.42008929,-35290.30757573036,7749919.257544643,4145940.2191160717,29749765.934464283,2651683.3298830357
"(2, 12)",193002.34899516072,42147766.76383929,-39821.52356769911,7503285.580848214,3897115.434061607,28241789.91351786,2505565.334580357
"(2, 13)",177077.83021854286,39524127.524375,-38376.803478803566,7099593.622714286,3605377.0552875,26491065.500482142,2328076.76094375
"(2, 14)",175731.83194893217,37133116.07169643,-26699.910000857144,6734242.276026785,3375227.5005160714,24849540.616732143,2174089.940776786
"(2, 15)",191522.29920488392,36097120.50008929,-6176.351377205357,6676289.264383928,3296274.9704223215,24034374.140919644,2090169.9209741072
"(2, 16)",220528.52909196427,36659907.30098214,19074.772033242945,7011240.102624999,3362266.019961607,24191161.785089284,2095245.3489044644
"(2, 17)",257457.8301364286,38179568.46767857,45815.36004416964,7650893.795821428,3517572.426685714,24855337.265437502,2155789.311017857
"(2, 18)",277726.7146928572,40069691.59169643,56836.439512232144,8338882.529044643,3698767.1603785716,25799831.991026785,2232224.453208036
"(2, 19)",286850.70124375,41469212.12142857,59195.43549401785,8809425.727080356,3863178.945866071,26502221.911151785,2294400.9026392857
"(2, 20)",294618.5261776786,42326155.476517856,60182.64903267857,8945772.240732143,3993086.9046785715,27039278.781116072,2348037.4611464287
"(2, 21)",298068.66181875,42916916.171071425,56452.48458241072,8627852.707607143,4145552.8733660714,27733272.620089285,2410246.971746429
"(2, 22)",297399.7524830357,42893294.59241072,49678.182022410714,7750412.428633928,4283688.109892857,28387106.261249997,2472096.905326786
"(2, 23)",290895.65535,42057237.17696428,41008.408714375,6678001.275589286,4339801.544919643,28537357.09348214,2502092.851714286
"(3, 0)",256403.94252258065,34058273.51290323,32063.797110322583,5019047.927395161,4139591.55158871,22974950.75040323,1924681.027766129
"(3, 1)",260566.4283612903,34547564.54233871,30196.812741290323,4900661.262846774,4271015.540451612,23398977.35266129,1976918.2035403226
"(3, 2)",270420.5216887097,35729414.01862904,30104.23082451613,4950141.6374032255,4454073.254459677,24263178.107338708,2062027.626314516
"(3, 3)",284179.07363145164,37491533.71169355,31358.85024137097,5136717.595096774,4673647.419556451,25502600.14572581,2178572.731806452
"(3, 4)",299893.9795153226,39623135.04548387,33646.740322096775,5466954.680379032,4908267.4720645165,26925063.923387095,2322854.3275322584
"(3, 5)",318973.0086653226,42212731.10056452,38216.83626370968,6044262.748903225,5151466.130193549,28534488.83887097,2482515.5819596774
"(3, 6)",328687.18232258066,44539672.69314516,38158.7892591371,6730000.435677419,5298318.236991935,29901465.830403224,2609882.0187177416
"(3, 7)",303535.2364169355,45156768.06120968,19674.369107370967,7193519.521,5167266.08241129,30164107.634919357,2631868.6643145164
"(3, 8)",257147.91875725807,43674653.76145162,-10530.10786103145,7321004.129459677,4822671.116596774,29010939.16266129,2520032.4215161293
"(3, 9)",211121.29545314517,41056810.889435485,-40301.14102816976,7201501.733008064,4421492.177209677,27090659.77717742,2343146.330637097
"(3, 10)",168286.3821989355,38084409.31653226,-63026.57959383065,6930893.986766129,4006072.1785564516,25000307.024354838,2147124.5375403226
"(3, 11)",139056.4697120242,35361940.4582258,-74994.63324639517,6644520.879314516,3669187.4270241936,23080740.432419352,1967477.6755564515
"(3, 12)",119950.76472853226,32595757.39,-76400.8637767016,6284545.800120968,3355402.610435484,21171651.246693548,1784147.5622661288
"(3, 13)",107695.08552182259,29886522.78564516,-71935.66914140322,5905587.1437419355,3059103.4458024194,19311844.94451613,1609973.987535484
"(3, 14)",111375.41307220074,27970567.95467742,-56929.88667023145,5710318.301991936,2870565.500544355,17905737.40548387,1483925.6995395164
"(3, 15)",133799.52831098388,27293695.637661293,-30967.326346123227,5826712.306387097,2805725.21698629,17240511.82064516,1420749.5678080644
"(3, 16)",168458.1979558871,27723429.69185484,469.9548161972581,6221106.250467742,2836413.6569346776,17246584.87483871,1419322.8883653225
"(3, 17)",204467.4979491129,28815450.43919355,29683.754699251615,6721668.775887097,2965904.123051613,17677147.485887095,1450735.3237120968
"(3, 18)",234970.62797661292,30494180.10919355,49193.75004508065,7203579.154629032,3192160.504056452,18582748.261290323,1515687.2911346774
"(3, 19)",251186.51413790323,32313764.825645164,54129.717663790325,7570148.101814516,3415842.6639838708,19724273.122903228,1603484.956007258
"(3, 20)",261975.789725,33803917.063548386,53401.78787387097,7614141.445903226,3645465.4292822583,20848730.41612903,1695579.8290362903
"(3, 21)",267616.2802612903,34797974.68612903,47971.154407661284,7072108.0875,3875510.063564516,22052510.821129035,1797871.1140806451
"(3, 22)",267568.83385483874,34891054.78790323,40676.20196653226,6160370.921516129,4026834.464798387,22829383.281935483,1874474.6566209677
"(3, 23)",262785.9691314516,34497152.77645162,35385.65495967742,5422637.778903225,4100213.9399435483,23060375.210080646,1913923.1606935484
"(4, 0)",174001.38429441667,23798451.774775002,25857.3363055,3978045.256808333,2639873.429814167,15865313.682883333,1315242.8227300001
"(4, 1)",182220.19170599998,24588721.605808333,24995.222781083332,3935182.0425666664,2809529.5784400003,16464874.740183333,1379163.5248908333
"(4, 2)",192993.78211358332,25838118.415366665,25330.44711525,4001836.989641667,2987646.0196991665,17381956.185358334,1466689.5241258333
"(4, 3)",206865.74912758332,27536806.786916666,26757.397812416668,4195275.00575,3193395.634025,18568135.675308336,1579999.2048566667
"(4, 4)",221535.44806266666,29591872.273833334,29014.708569333332,4529727.0021750005,3417831.1967083337,19924365.591624998,1719970.1207341666
"(4, 5)",237872.0922233333,32073729.0175,32338.74969775,5135421.558216667,3616845.8655916667,21453785.386908334,1867679.9620566666
"(4, 6)",231090.58175333336,33694644.10683333,24128.71659724925,5768571.541425,3604375.4438416664,22374704.977041665,1946991.1874283333
"(4, 7)",198165.77715808334,33280965.008166667,4132.3955147475,6092141.946191667,3368514.1507666665,21920524.840658333,1899760.0858983332
"(4, 8)",158714.23846759167,31567491.837166667,-21182.492664866666,6151614.397583334,3070390.7065500002,20577405.620341666,1768051.7317775001
"(4, 9)",123634.00321659082,29352879.123416666,-43518.29569822333,6030534.3795,2753269.0225975,18953554.703516666,1615489.5679758333
"(4, 10)",90034.04871258416,27125779.27325,-60845.98798636075,5808802.4708,2461572.8290808336,17389876.229025,1465505.6345933334
"(4, 11)",68047.65051576667,25258847.2964,-71141.426893825,5626129.1233583335,2244442.7465991667,16046092.459891668,1342182.9641341667
"(4, 12)",51096.48722106416,23127583.564266667,-74062.34006500833,5318790.723641667,2001836.0518475,14601021.324666668,1205930.4234433332
"(4, 13)",44927.23162304999,21232106.1244,-68765.84724536834,5037999.227116666,1801289.4025341668,13305284.654158333,1087520.5708558334
"(4, 14)",51759.80546241666,20087710.851683334,-55475.1448013275,4976847.643575,1679757.294825,12423841.889741667,1007229.160045
"(4, 15)",72934.07244632501,19898164.657508332,-32928.86333114167,5199434.795383333,1636342.2352591667,12085413.470458332,976998.6572183333
"(4, 16)",102995.78662154083,20378465.51779167,-5356.728962771,5592298.880858333,1643792.1861883332,12156970.923333334,985387.3567491666
"(4, 17)",131734.81982666667,21049707.295225002,19990.8186551375,5911732.255358334,1707184.1913291665,12431620.487625,999175.6109558332
"(4, 18)",154678.97307583332,21796954.31019167,38175.97756641666,6119513.824141666,1831827.3198425,12827033.518158333,1018548.4871258333
"(4, 19)",172189.02338408335,22805367.774225,46459.894928249996,6355620.800825,1987719.687135,13402059.920833332,1059911.243325
"(4, 20)",180618.6967211667,23824914.18,46780.89204766667,6484697.96845,2152531.388224167,14075207.87685,1112478.6638116667
"(4, 21)",182833.34246516664,24265205.339166664,40543.986587,5886945.9613666665,2344076.136244167,14853481.168583333,1180755.7846808333
"(4, 22)",179845.63637625,23875909.28579167,32462.309154000002,4886683.901908333,2469737.949870833,15291751.299483333,1227734.9973291669
"(4, 23)",175713.513137,23387853.6886,28400.474651416665,4224961.095166666,2546899.0650041667,15365288.194125,1250683.6010649998
"(5, 0)",45203.04646887097,5401206.098548387,20141.863560887094,2968503.481120968,373321.39090999996,1931366.9519685484,128088.7680591129
"(5, 1)",44160.7900307258,5109316.51308871,18652.867181612903,2731752.6781048384,406407.72385991935,1844625.1103758065,126540.45415451613
"(5, 2)",46557.92821935484,5170632.227475806,18231.85993080645,2618901.6029596776,458162.18399137096,1955741.4243225807,137849.84046975806
"(5, 3)",52183.30050193548,5582527.088185484,18802.621307822577,2618014.446653226,531190.3849337903,2269833.2447120966,163524.67662080645
"(5, 4)",59129.66579540323,6418412.249935484,20080.951990080644,2773795.7779677417,630518.8608873386,2804376.8980862903,209746.06775298386
"(5, 5)",63602.75740387097,7805355.46375,17424.823597056453,3234081.918282258,712114.5791008065,3584633.2689274196,274466.5618426613
"(5, 6)",52208.49244021774,8847561.108298386,5026.6847356396775,3819392.985,678937.2275967742,4037185.9347983873,311996.28096209676
"(5, 7)",29234.130119134676,9078535.931241935,-13961.701828175,4250371.04275,583182.4736887097,3946949.8360725804,297975.37656935485
"(5, 8)",2596.8658921074193,9067449.762596775,-36425.21712510967,4578028.6047661295,495174.996516129,3724690.804145161,269490.78001209674
"(5, 9)",-19037.455380112096,9148572.552145163,-56248.95763602903,4875551.267290323,437891.5849241935,3585208.198620968,249892.55806693548
"(5, 10)",-36913.099485306455,9222539.402895162,-71546.11744130886,5121110.937233871,388744.0815314516,3474387.5129596773,238286.3502733871
"(5, 11)",-45613.45628554032,9241567.131838711,-77937.45842857315,5364094.219798387,344456.25422177423,3307411.4812016133,225604.23537500002
"(5, 12)",-50718.99654309678,8971270.033145161,-79198.93366262097,5479526.212346774,298148.7231604838,2991757.2164354837,201851.9548483871
"(5, 13)",-46941.341156,8732132.454153227,-72100.1678736613,5614894.5265,264335.7675048387,2672995.9800806455,179913.55799274196
"(5, 14)",-30079.169405312095,8919394.946790323,-54402.52901785726,5943664.768362903,254580.52253064516,2548051.1906774193,173065.72916693546
"(5, 15)",-2151.8674475645157,9576354.205895161,-28657.874888974195,6449138.179387096,263495.7808,2677112.375233871,186603.67981854838
"(5, 16)",28929.771260179838,10478775.712846773,-1166.0404718032255,6972207.434604839,292003.592091129,2997291.3836451615,217230.35398548387
"(5, 17)",54708.50662846774,11002587.782403225,22370.538940790324,7227939.0399596775,316037.15522580646,3224770.9886451615,233838.37850080643
"(5, 18)",69889.83110887096,10934469.128975807,38065.38722040322,7147763.9825161295,328222.43481209676,3231451.987862903,226999.77525080644
"(5, 19)",77793.62969935485,10640732.415669356,46146.787049758066,6930881.517008064,337673.2843064516,3154789.706306452,217307.60712419354
"(5, 20)",77815.74911540323,10299279.763556452,45957.260952419354,6613543.9068145165,352166.9565943549,3121423.7772338707,212149.63311774193
"(5, 21)",69521.33441314516,9285379.19191129,37847.92623379032,5674727.071935483,363492.1461741936,3044394.0502258064,202822.01415806453
"(5, 22)",56799.41348822581,7625374.504362904,28317.942473548384,4401459.787120968,346337.7024935484,2700445.678483871,177115.29622580647
"(5, 23)",47399.06633419355,6162815.985564517,22900.343075725807,3496300.3073064517,323631.0433572581,2199270.5294193546,143589.73103169355
"(6, 0)",34738.739672916665,4897167.223683333,22776.731679250002,3566630.1746833334,148718.71179099998,1112296.4096358332,69599.00107908333
"(6, 1)",32073.63327591667,4398352.515833333,20822.195665,3263068.260091667,156544.96616216667,920417.2993383333,58273.73571675
"(6, 2)",32379.568818249998,4215270.4589,20119.6767445,3081865.8403416667,179470.15433183333,895138.9389424999,58764.36595858333
"(6, 3)",35407.92052299999,4311883.798825,20254.680926333334,3003433.344191666,218209.647231,1021179.3154991666,69066.01681716666
"(6, 4)",39151.34571641667,4758540.304508333,20328.54097425,3064256.8120166664,275965.7305275,1324606.7190741666,93728.88295533332
"(6, 5)",38496.15376158334,5706682.9797,14682.009437145,3404627.5537833334,322570.6172588334,1842415.1765875,136979.23886908332
"(6, 6)",26778.085813357164,6693379.8793916665,1286.3694311825,3956431.4077999997,304956.11147666664,2263933.803983333,168059.0910801667
"(6, 7)",5658.478766339166,7295474.679133334,-18784.096202468332,4473966.990241666,267092.41771833337,2382389.505958333,172018.38618
"(6, 8)",-16149.2949054525,7760633.48935,-39866.72798476583,4936513.195125,243941.28605333334,2412883.55015,167261.47861333334
"(6, 9)",-33166.81616154425,8278325.334583333,-57493.326970358336,5387139.37105,238163.23227,2486507.06825,166542.24204666668
"(6, 10)",-46249.32715414917,8680317.326166667,-70156.66997663333,5761800.668525,227659.83760083333,2523763.4786500004,167157.34188249998
"(6, 11)",-52380.04882976667,8954786.224041667,-75451.1732858,6097256.933541667,211605.38227,2479474.1728499997,166503.6401175
"(6, 12)",-51988.785518165,8934841.935675,-72938.25692546667,6293212.224358333,189706.5311725,2299614.328116667,152340.51767666667
"(6, 13)",-45302.12232140417,8871912.147708334,-64028.31588355834,6482908.680766667,172611.67301083336,2079171.6100333333,137277.66668
"(6, 14)",-30209.284719743337,9157305.260266667,-48979.5183177325,6849175.100425,169513.87592,2003023.584,135588.22130166666
"(6, 15)",-7464.586185664167,9857181.097775001,-27572.50361839525,7380285.667033333,178031.74506083332,2147944.5997833335,150877.55274333333
"(6, 16)",22267.20328296167,10706916.447575001,-1156.3289354066665,7880632.187466667,200669.16267166665,2447073.1226916667,178543.30897666665
"(6, 17)",47925.758171500005,11175606.436016668,22770.389864649165,8079086.48625,221577.50817666666,2678886.9019416664,196045.93492416668
"(6, 18)",63877.903434,11050694.679966666,38917.540112916664,7954236.548891666,228515.44875,2678627.6301166667,189298.7095558333
"(6, 19)",72899.92750458333,10648030.092008332,48425.6678395,7654218.712033333,231182.84129333336,2584642.3587916666,177982.181345
"(6, 20)",72403.84622925,10140328.599466668,48798.2792195,7228933.822416667,235566.0751458333,2506060.730875,169803.73038333334
"(6, 21)",64135.41360033333,9059718.634783333,41662.674239,6288955.216175,230284.68275166667,2383274.1865583337,157170.89888000002
"(6, 22)",51455.66169925,7434388.258408333,32152.623588083334,5064698.894916667,200936.15094166668,2038341.3153,130354.42224916667
"(6, 23)",40865.835212,5945093.526116666,26243.087328833335,4151921.6879749997,165751.90077275,1531954.71195,95497.83133466667
"(7, 0)",39705.77417129032,5530961.705774194,31951.532285725807,4466348.221370968,78072.02119217742,928230.374225,58327.38029693549
"(7, 1)",35318.820782661285,4905505.140387096,29223.09458983871,4084079.5891935485,66141.56469387097,709684.9719701612,45556.186845887096
"(7, 2)",33473.67910629032,4582023.5105967745,27542.744414758065,3831580.175032258,65936.76495370969,642301.5736427419,42183.41199395161
"(7, 3)",33602.82978145161,4513497.631766129,26798.773446451614,3679084.506951613,77506.04352790322,708100.4213040322,48802.63689540323
"(7, 4)",35802.596305725805,4762909.311137097,26517.733542177422,3665785.0881129033,104090.93408967742,925109.0460443548,67927.93815201613
