energy_type,element,value
natural_gas,lighting,1964.161
electricity,cooling_fans_pumps,1982.627
natural_gas,lighting,1994.056
electricity,clothes_washer,2000.789
electricity,lighting_exterior,2010.472
electricity,clothes_washer,2011.059
electricity,mech_vent,2013.38
electricity,plug_loads,2018.38
natural_gas,clothes_dryer,2018.673
natural_gas,lighting,2030.689
natural_gas,lighting,2035.085
electricity,well_pump,2037.724
natural_gas,grill,2051.79
propane,hot_water,2053.842
electricity,clothes_washer,2065.857
electricity,pool_heater,2066.737
natural_gas,lighting,2068.495
natural_gas,lighting,2069.668
natural_gas,clothes_dryer,2070.253
natural_gas,lighting,2076.115
electricity,clothes_washer,2080.502
natural_gas,grill,2089.889
electricity,hot_tub_pump,2093.699
electricity,clothes_washer,2094.584
propane,range_oven,2097.802
electricity,well_pump,2100.735
propane,heating,2102.785
electricity,ceiling_fan,2107.752
natural_gas,grill,2115.68
propane,heating,2121.248
propane,hot_water,2122.128
natural_gas,lighting,2124.472
electricity,mech_vent,2133.54
natural_gas,lighting,2156.71
natural_gas,clothes_dryer,2159.934
electricity,refrigerator,2170.19
electricity,hot_tub_pump,2175.467
electricity,mech_vent,2183.672
electricity,dishwasher,2183.967
electricity,pool_heater,2187.189
electricity,well_pump,2188.655
electricity,lighting_exterior,2201.553
electricity,hot_tub_heater,2202.137
electricity,hot_water,2203.308
natural_gas,lighting,2232.323
propane,range_oven,2238.77
electricity,hot_water,2244.631
electricity,mech_vent,2254.576
electricity,clothes_washer,2256.051
natural_gas,clothes_dryer,2260.75
electricity,hot_tub_pump,2261.336
electricity,range_oven,2275.696
electricity,well_pump,2284.489
electricity,hot_tub_heater,2288.885
fuel_oil,hot_water,2297.97
electricity,dishwasher,2307.058
fuel_oil,hot_water,2308.228
electricity,mech_vent,2311.444
electricity,well_pump,2312.625
natural_gas,fireplace,2316.141
natural_gas,grill,2316.726
propane,clothes_dryer,2317.607
electricity,cooling_fans_pumps,2340.465
natural_gas,range_oven,2343.396
electricity,well_pump,2346.035
propane,clothes_dryer,2350.43
electricity,lighting_exterior,2355.707
fuel_oil,heating,2356.878
natural_gas,clothes_dryer,2358.637
natural_gas,lighting,2359.809
propane,range_oven,2360.395
propane,heating,2360.981
electricity,heating_hp_bkup,2370.063
electricity,well_pump,2370.36
electricity,hot_tub_heater,2372.117
electricity,hot_tub_pump,2372.996
electricity,heating_hp_bkup,2393.218
electricity,hot_tub_heater,2402.304
natural_gas,fireplace,2411.975
electricity,dishwasher,2414.618
electricity,hot_tub_heater,2422.818
electricity,clothes_washer,2424.288
electricity,clothes_washer,2464.719
natural_gas,lighting,2469.124
natural_gas,range_oven,2471.469
electricity,lighting_garage,2472.928
electricity,lighting_garage,2473.221
natural_gas,clothes_dryer,2473.813
electricity,range_oven,2484.07
electricity,lighting_interior,2507.223
electricity,plug_loads,2513.964
electricity,hot_water,2516.308
natural_gas,fireplace,2519.532
electricity,ceiling_fan,2520.415
natural_gas,clothes_dryer,2537.701
electricity,pool_heater,2540.047
electricity,heating_fans_pumps,2549.982
electricity,hot_tub_pump,2551.184
electricity,freezer,2557.928
electricity,well_pump,2559.39
electricity,hot_tub_heater,2582.249
electricity,dishwasher,2582.545
electricity,mech_vent,2590.156
electricity,well_pump,2593.092
electricity,cooling_fans_pumps,2598.076
electricity,refrigerator,2600.126
natural_gas,lighting,2604.229
propane,clothes_dryer,2620.348
electricity,mech_vent,2628.528
fuel_oil,hot_water,2637.933
propane,range_oven,2638.52
natural_gas,lighting,2646.432
electricity,well_pump,2647.605
natural_gas,lighting,2660.792
electricity,clothes_washer,2663.715
natural_gas,lighting,2668.412
natural_gas,clothes_dryer,2681.893
electricity,lighting_exterior,2695.38
propane,hot_water,2699.478
electricity,hot_tub_pump,2702.409
electricity,range_oven,2711.788
electricity,clothes_washer,2714.995
electricity,hot_tub_pump,2715.01
electricity,lighting_exterior,2723.516
propane,range_oven,2724.681
electricity,clothes_dryer,2725.561
natural_gas,lighting,2734.647
electricity,hot_tub_heater,2735.232
electricity,clothes_washer,2738.448
electricity,hot_tub_heater,2748.128
natural_gas,heating,2750.472
natural_gas,clothes_dryer,2783.882
natural_gas,grill,2784.761
