target,source,value
electricity,clothes_dryer,102888.455
electricity,clothes_dryer,198846.363
electricity,clothes_dryer,81992.493
electricity,clothes_dryer,1495257.889
electricity,clothes_dryer,121511.366
electricity,clothes_dryer,35582.636
electricity,clothes_dryer,46622.618
electricity,clothes_dryer,35464.242
electricity,clothes_dryer,669359.934
electricity,clothes_dryer,19830.359
electricity,clothes_dryer,3442.706
electricity,clothes_dryer,8319.699
electricity,clothes_dryer,11481.646
electricity,clothes_dryer,133985.346
electricity,clothes_dryer,176994.696
electricity,clothes_dryer,50358.692
electricity,clothes_dryer,83615.22
electricity,clothes_dryer,37947.723
electricity,clothes_dryer,1116481.161
electricity,clothes_dryer,16754.873
electricity,clothes_dryer,972.41
electricity,clothes_dryer,1563.24
electricity,clothes_dryer,1579.36
electricity,clothes_dryer,66081.077
electricity,clothes_dryer,3366.8
electricity,clothes_dryer,4493.073
electricity,clothes_dryer,3136.153
electricity,clothes_dryer,767.26
electricity,clothes_dryer,64242.054
electricity,clothes_dryer,367862.808
electricity,clothes_dryer,439706.557
electricity,clothes_dryer,1101164.419
electricity,clothes_dryer,584527.346
electricity,clothes_dryer,6887516.078
electricity,clothes_dryer,110480.758
electricity,clothes_dryer,227361.312
electricity,clothes_dryer,529614.868
electricity,clothes_dryer,405295.036
electricity,clothes_dryer,2889222.577
electricity,clothes_dryer,409592.878
electricity,clothes_dryer,297386.829
electricity,clothes_dryer,802740.388
electricity,clothes_dryer,303691.685
electricity,clothes_dryer,4893867.258
electricity,clothes_dryer,20887.469
electricity,clothes_dryer,9100.148
electricity,clothes_dryer,7835.547
electricity,clothes_dryer,6430.565
electricity,clothes_dryer,266059.87
electricity,clothes_washer,42692.38
electricity,clothes_washer,61045.889
electricity,clothes_washer,76760.814
electricity,clothes_washer,67850.946
electricity,clothes_washer,1132542.307
electricity,clothes_washer,9452.164
electricity,clothes_washer,14591.356
electricity,clothes_washer,14634.427
electricity,clothes_washer,9770.071
electricity,clothes_washer,216579.782
electricity,clothes_washer,10113.919
electricity,clothes_washer,6433.469
electricity,clothes_washer,6588.795
electricity,clothes_washer,3908.672
electricity,clothes_washer,133955.507
electricity,clothes_washer,1210.973
electricity,clothes_washer,800.079
electricity,clothes_washer,574.125
electricity,clothes_washer,325.014
electricity,clothes_washer,17781.557
electricity,clothes_washer,7332.069
electricity,clothes_washer,5794.576
electricity,clothes_washer,9185.093
electricity,clothes_washer,7298.61
electricity,clothes_washer,170080.777
electricity,clothes_washer,8098.169
